Tag_A,Attr_A_Name,Attr_A_Value,Relationship,Rel_Att_Name_1,Rel_Att_Value_1,Rel_Att_Name_2,Rel_Att_Value_2,Tag_B,Attr_B_Name,Attr_B_Value
Seachannel,Name,Skerki Channel,Part_of,,,,,IHO_Sea_Area,Name,Mediterranean Sea - Western Basin
Seachannel,Name,Galite Channel,Part_of,,,,,IHO_Sea_Area,Name,Mediterranean Sea - Western Basin
Seachannel,Name,Maury Channel,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
Seachannel,Name,Faroe Bank Seachannel,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
Seachannel,Name,Imarssuak Channel,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
IHO_Sea_Area,Name,East Siberian Sea,Part_of,,,,,IHO_Sea_Area,Name,Arctic Ocean
IHO_Sea_Area,Name,Laptev Sea,Part_of,,,,,IHO_Sea_Area,Name,Arctic Ocean
IHO_Sea_Area,Name,Kara Sea,Part_of,,,,,IHO_Sea_Area,Name,Arctic Ocean
IHO_Sea_Area,Name,Barentsz Sea,Part_of,,,,,IHO_Sea_Area,Name,Arctic Ocean
IHO_Sea_Area,Name,White Sea,Part_of,,,,,IHO_Sea_Area,Name,Arctic Ocean
Sea,Name,Wandel Sea,Part_of,,,,,IHO_Sea_Area,Name,Arctic Ocean
IHO_Sea_Area,Name,Davis Strait,Part_of,,,,,IHO_Sea_Area,Name,Arctic Ocean
IHO_Sea_Area,Name,Hudson Strait,Part_of,,,,,IHO_Sea_Area,Name,Arctic Ocean
IHO_Sea_Area,Name,Hudson Bay,Part_of,,,,,IHO_Sea_Area,Name,Arctic Ocean
IHO_Sea_Area,Name,Baffin Bay,Part_of,,,,,IHO_Sea_Area,Name,Arctic Ocean
IHO_Sea_Area,Name,Lincoln Sea,Part_of,,,,,IHO_Sea_Area,Name,Arctic Ocean
Sea,Name,North West Passage,Part_of,,,,,IHO_Sea_Area,Name,Arctic Ocean
Sea,Name,North West Passage,Similar_to,,,,,IHO_Sea_Area,Name,Northwestern Passages
IHO_Sea_Area,Name,Beaufort Sea,Part_of,,,,,IHO_Sea_Area,Name,Arctic Ocean
IHO_Sea_Area,Name,Chukchi Sea,Part_of,,,,,IHO_Sea_Area,Name,Arctic Ocean
Sea,Name,Kane Basin,Part_of,,,,,IHO_Sea_Area,Name,Arctic Ocean
IHO_Sea_Area,Name,Mozambique Channel,Part_of,,,,,IHO_Sea_Area,Name,Indian Ocean
IHO_Sea_Area,Name,Gulf of Suez,Part_of,,,,,IHO_Sea_Area,Name,Indian Ocean
IHO_Sea_Area,Name,Gulf of Aqaba,Part_of,,,,,IHO_Sea_Area,Name,Red Sea
IHO_Sea_Area,Name,Red Sea,Part_of,,,,,IHO_Sea_Area,Name,Indian Ocean
IHO_Sea_Area,Name,Gulf of Aden,Part_of,,,,,IHO_Sea_Area,Name,Indian Ocean
IHO_Sea_Area,Name,Persian Gulf,Part_of,,,,,IHO_Sea_Area,Name,Indian Ocean
IHO_Sea_Area,Name,Gulf of Oman,Part_of,,,,,IHO_Sea_Area,Name,Indian Ocean
IHO_Sea_Area,Name,Arabian Sea,Part_of,,,,,IHO_Sea_Area,Name,Indian Ocean
IHO_Sea_Area,Name,Laccadive Sea,Part_of,,,,,IHO_Sea_Area,Name,Indian Ocean
Strait,Name,Palk Strait,Part_of,,,,,IHO_Sea_Area,Name,Indian Ocean
